cay_trong,thoi_gian,nhiet_do,do_am,do_am_dat,anh_sang,trang_thai,san_luong
Ca chua,2024-03-21 13:00:00,21.90,59.30,60.20,76.80,Binh thuong,
Ca chua,2024-03-21 14:00:00,23.50,45.80,60.70,69.40,Binh thuong,
Ca chua,2024-03-21 15:00:00,22.90,56.00,71.00,74.40,Binh thuong,
Ca chua,2024-03-21 16:00:00,22.50,52.60,69.30,78.80,Binh thuong,
Ca chua,2024-03-21 17:00:00,22.30,48.20,68.20,74.20,Binh thuong,
Ca chua,2024-03-21 18:00:00,23.70,57.90,74.60,61.20,Binh thuong,
Ca chua,2024-03-21 19:00:00,23.40,54.30,60.00,68.00,Binh thuong,
Ca chua,2024-03-21 20:00:00,22.90,57.60,68.00,70.90,Binh thuong,
Ca chua,2024-03-21 21:00:00,22.60,52.40,65.60,64.40,Binh thuong,
Ca chua,2024-03-21 22:00:00,24.00,58.60,76.10,71.60,Binh thuong,
Ca chua,2024-03-21 23:00:00,22.50,53.00,69.50,62.60,Binh thuong,
Ca chua,2024-03-22 00:00:00,23.20,52.60,67.30,73.80,Binh thuong,
Ca chua,2024-03-22 01:00:00,23.40,55.50,67.30,60.90,Binh thuong,
Ca chua,2024-03-22 02:00:00,22.30,57.40,69.40,61.90,Binh thuong,
Ca chua,2024-03-22 03:00:00,23.20,56.40,67.40,72.50,Binh thuong,
Ca chua,2024-03-22 04:00:00,23.90,46.20,67.40,69.70,Binh thuong,
Ca chua,2024-03-22 05:00:00,22.60,50.20,71.80,72.30,Binh thuong,
Ca chua,2024-03-22 06:00:00,21.20,58.00,79.40,69.70,Binh thuong,
Ca chua,2024-03-22 07:00:00,22.30,45.50,79.40,71.30,Binh thuong,
Ca chua,2024-03-22 08:00:00,21.50,45.90,63.00,75.20,Binh thuong,
Ca chua,2024-03-22 09:00:00,22.80,48.60,65.00,69.00,Binh thuong,
Ca chua,2024-03-22 10:00:00,23.50,59.10,63.40,72.30,Binh thuong,
Ca chua,2024-03-22 11:00:00,22.60,52.90,76.70,79.40,Binh thuong,
Ca chua,2024-03-22 12:00:00,21.10,54.80,63.10,79.40,Binh thuong,
Ca chua,2024-03-22 13:00:00,22.10,58.90,69.70,72.00,Binh thuong,
Ca chua,2024-03-22 14:00:00,22.20,49.60,77.80,75.70,Binh thuong,
Ca chua,2024-03-22 15:00:00,21.00,53.00,78.20,79.40,Binh thuong,
Ca chua,2024-03-22 16:00:00,22.80,47.20,69.70,77.30,Binh thuong,
Ca chua,2024-03-22 17:00:00,22.50,57.80,67.60,70.40,Binh thuong,
Ca chua,2024-03-22 18:00:00,23.50,56.60,75.00,73.60,Binh thuong,
Ca chua,2024-03-22 19:00:00,21.30,58.20,73.40,75.50,Binh thuong,
Ca chua,2024-03-22 20:00:00,22.00,59.70,73.50,61.30,Binh thuong,
Ca chua,2024-03-22 21:00:00,23.30,54.30,73.50,61.30,Binh thuong,
Ca chua,2024-03-22 22:00:00,21.00,57.30,73.60,65.40,Binh thuong,
Ca chua,2024-03-22 23:00:00,21.80,53.50,77.60,74.70,Binh thuong,
Ca chua,2024-03-23 00:00:00,22.90,52.40,69.60,75.70,Binh thuong,
Ca chua,2024-03-23 01:00:00,23.30,58.60,69.60,75.70,Binh thuong,
Ca chua,2024-03-23 02:00:00,23.00,59.40,79.80,67.10,Binh thuong,
Ca chua,2024-03-23 03:00:00,22.70,45.00,63.30,77.80,Binh thuong,
Ca chua,2024-03-23 04:00:00,21.70,49.20,77.00,61.50,Binh thuong,
Ca chua,2024-03-23 05:00:00,22.40,57.10,61.30,78.80,Binh thuong,
Ca chua,2024-03-23 06:00:00,21.30,57.10,61.30,78.80,Binh thuong,
Ca chua,2024-03-23 07:00:00,22.60,50.90,60.00,78.90,Binh thuong,
Ca chua,2024-03-23 08:00:00,22.30,56.60,75.80,77.50,Binh thuong,
Ca chua,2024-03-23 09:00:00,21.80,52.40,76.60,78.60,Binh thuong,
Ca chua,2024-03-23 10:00:00,22.10,52.50,76.80,78.60,Binh thuong,
Ca chua,2024-03-23 11:00:00,23.10,54.10,76.80,78.60,Binh thuong,
Ca chua,2024-03-23 12:00:00,22.60,50.10,64.10,63.70,Binh thuong,
Ca chua,2024-03-23 13:00:00,23.90,58.70,64.20,78.90,Binh thuong,
Ca chua,2024-03-23 14:00:00,23.20,51.40,64.20,69.20,Binh thuong,
Ca chua,2024-03-23 15:00:00,23.10,54.00,64.20,63.50,Binh thuong,
Ca chua,2024-03-23 16:00:00,21.50,45.90,79.90,72.50,Binh thuong,
Ca chua,2024-03-23 17:00:00,23.20,53.50,60.90,72.50,Binh thuong,
Ca chua,2024-03-23 18:00:00,22.00,51.10,60.90,79.50,Binh thuong,
Ca chua,2024-03-23 19:00:00,21.80,45.20,74.70,70.30,Binh thuong,
Ca chua,2024-03-23 20:00:00,23.20,45.30,70.00,70.30,Binh thuong,
Ca chua,2024-03-23 21:00:00,21.90,51.90,67.60,74.40,Binh thuong,
Ca chua,2024-03-23 22:00:00,22.80,58.50,67.60,60.90,Binh thuong,
Ca chua,2024-03-23 23:00:00,23.20,54.70,63.50,64.30,Binh thuong,
Ca chua,2024-03-24 00:00:00,23.80,45.10,70.70,77.70,Binh thuong,
Ca chua,2024-03-24 01:00:00,22.40,47.10,70.70,66.40,Binh thuong,
Ca chua,2024-03-24 02:00:00,23.20,49.80,77.20,61.00,Binh thuong,
Ca chua,2024-03-24 03:00:00,22.10,54.30,79.60,78.20,Binh thuong,
Ca chua,2024-03-24 04:00:00,21.20,47.40,68.90,69.00,Binh thuong,
Ca chua,2024-03-24 05:00:00,23.20,48.40,68.90,62.50,Binh thuong,
Ca chua,2024-03-24 06:00:00,21.40,48.50,75.30,62.50,Binh thuong,
Ca chua,2024-03-24 07:00:00,23.80,48.60,75.30,74.30,Binh thuong,
Ca chua,2024-03-24 08:00:00,22.40,56.70,75.60,74.30,Binh thuong,
Ca chua,2024-03-24 09:00:00,21.80,47.00,63.30,61.90,Binh thuong,
Ca chua,2024-03-24 10:00:00,22.10,49.30,61.30,74.40,Binh thuong,
Ca chua,2024-03-24 11:00:00,21.80,51.30,61.30,68.30,Binh thuong,
Ca chua,2024-03-24 12:00:00,22.60,59.30,67.60,70.90,Binh thuong,
Ca chua,2024-03-24 13:00:00,23.10,59.30,67.60,64.90,Binh thuong,
Ca chua,2024-03-24 14:00:00,23.80,45.70,77.30,64.90,Binh thuong,
Ca chua,2024-03-24 15:00:00,23.10,52.70,66.80,65.50,Binh thuong,
Ca chua,2024-03-24 16:00:00,22.40,52.20,66.80,64.90,Binh thuong,
Ca chua,2024-03-24 17:00:00,23.00,49.40,60.90,72.60,Binh thuong,
Ca chua,2024-03-24 18:00:00,22.20,48.30,75.20,80.00,Binh thuong,
Ca chua,2024-03-24 19:00:00,23.40,53.90,75.20,77.00,Binh thuong,
Ca chua,2024-03-24 20:00:00,22.10,57.90,75.40,77.00,Binh thuong,
Ca chua,2024-03-24 21:00:00,21.20,48.90,71.70,62.20,Binh thuong,
Ca chua,2024-03-24 22:00:00,23.00,56.30,69.90,62.20,Binh thuong,
Ca chua,2024-03-24 23:00:00,21.10,56.30,64.40,78.90,Binh thuong,
Ca chua,2024-03-25 00:00:00,21.80,57.10,64.40,61.60,Binh thuong,
Ca chua,2024-03-25 01:00:00,23.60,58.40,70.80,61.60,Binh thuong,
Ca chua,2024-03-25 02:00:00,23.10,50.70,66.40,74.30,Binh thuong,
Ca chua,2024-03-25 03:00:00,21.90,56.70,65.90,77.50,Binh thuong,
Ca chua,2024-03-25 04:00:00,22.70,51.30,65.90,78.60,Binh thuong,
Ca chua,2024-03-25 05:00:00,21.40,49.80,69.10,78.60,Binh thuong,
Ca chua,2024-03-25 06:00:00,22.30,53.30,69.10,68.10,Binh thuong,
Ca chua,2024-03-25 07:00:00,23.40,56.10,70.70,63.70,Binh thuong,
Ca chua,2024-03-25 08:00:00,22.40,52.10,73.00,69.10,Binh thuong,
Ca chua,2024-03-25 09:00:00,21.70,59.80,75.90,69.60,Binh thuong,
Ca chua,2024-03-25 10:00:00,23.70,53.70,65.40,69.70,Binh thuong,
Ca chua,2024-03-25 11:00:00,21.10,50.50,60.70,69.70,Binh thuong,
Ca chua,2024-03-25 12:00:00,21.60,53.60,79.90,73.10,Binh thuong,
Ca chua,2024-03-25 13:00:00,21.00,58.10,79.90,73.10,Binh thuong,
Ca chua,2024-03-25 14:00:00,22.60,47.50,62.70,66.80,Binh thuong,
Ca chua,2024-03-25 15:00:00,23.70,52.70,78.70,72.40,Binh thuong,
Ca chua,2024-03-25 16:00:00,23.90,58.80,78.70,72.40,Binh thuong,
Ca chua,2024-03-25 17:00:00,23.40,53.20,72.50,70.10,Binh thuong,
Ca chua,2024-03-25 18:00:00,23.00,54.90,72.50,70.10,Binh thuong,
Ca chua,2024-03-25 19:00:00,23.30,56.50,63.90,62.60,Binh thuong,
Ca chua,2024-03-25 20:00:00,22.30,52.10,63.90,62.60,Binh thuong,
Ca chua,2024-03-25 21:00:00,23.90,55.20,76.40,69.60,Binh thuong,
Ca chua,2024-03-25 22:00:00,23.80,58.60,67.80,79.60,Binh thuong,
Ca chua,2024-03-25 23:00:00,21.70,58.30,67.80,74.30,Binh thuong,
Ca chua,2024-03-26 00:00:00,21.20,46.00,72.50,64.70,Binh thuong,
Ca chua,2024-03-26 01:00:00,23.90,52.40,75.20,64.70,Binh thuong,
Ca chua,2024-03-26 02:00:00,23.60,56.10,75.70,62.70,Binh thuong,
Ca chua,2024-03-26 03:00:00,22.30,58.00,75.70,62.70,Binh thuong,
Ca chua,2024-03-26 04:00:00,21.20,53.10,76.30,60.40,Binh thuong,
Ca chua,2024-03-26 05:00:00,22.00,55.90,65.90,61.30,Binh thuong,
Ca chua,2024-03-26 06:00:00,22.60,45.00,76.20,61.30,Binh thuong,
Ca chua,2024-03-26 07:00:00,23.50,54.80,76.20,75.60,Binh thuong,
Ca chua,2024-03-26 08:00:00,22.40,47.50,75.00,65.00,Binh thuong,
Ca chua,2024-03-26 09:00:00,22.10,57.60,75.00,65.00,Binh thuong,
Ca chua,2024-03-26 10:00:00,23.30,49.80,73.10,78.40,Binh thuong,
Ca chua,2024-03-26 11:00:00,23.00,52.20,64.30,78.40,Binh thuong,
Ca chua,2024-03-26 12:00:00,22.30,53.90,78.50,65.60,Binh thuong,
Ca chua,2024-03-26 13:00:00,21.60,48.10,65.10,62.60,Binh thuong,
Ca chua,2024-03-26 14:00:00,21.50,53.20,74.40,75.20,Binh thuong,
Ca chua,2024-03-26 15:00:00,21.20,59.00,79.50,75.20,Binh thuong,
Ca chua,2024-03-26 16:00:00,22.70,54.10,71.90,70.30,Binh thuong,
Ca chua,2024-03-26 17:00:00,23.40,54.10,68.50,68.70,Binh thuong,
Ca chua,2024-03-26 18:00:00,21.90,53.40,68.50,62.00,Binh thuong,
Ca chua,2024-03-26 19:00:00,22.70,48.20,74.10,62.00,Binh thuong,
Ca chua,2024-03-26 20:00:00,23.60,49.70,72.20,61.30,Binh thuong,
Ca chua,2024-03-26 21:00:00,21.80,58.70,70.30,69.70,Binh thuong,
Ca chua,2024-03-26 22:00:00,21.20,46.50,70.30,69.70,Binh thuong,
Ca chua,2024-03-26 23:00:00,23.80,57.30,77.70,78.40,Binh thuong,
Ca chua,2024-03-27 00:00:00,23.80,47.90,63.60,78.40,Binh thuong,
Ca chua,2024-03-27 01:00:00,21.90,57.40,62.30,75.10,Binh thuong,
Ca chua,2024-03-27 02:00:00,21.10,58.80,72.00,60.00,Binh thuong,
Ca chua,2024-03-27 03:00:00,23.70,51.20,73.10,68.60,Binh thuong,
Ca chua,2024-03-27 04:00:00,24.00,50.10,73.10,68.60,Binh thuong,
Ca chua,2024-03-27 05:00:00,23.70,55.60,65.90,73.00,Binh thuong,
Ca chua,2024-03-27 06:00:00,22.30,48.90,65.90,73.00,Binh thuong,
Ca chua,2024-03-27 07:00:00,21.10,51.70,76.70,63.30,Binh thuong,
Ca chua,2024-03-27 08:00:00,21.00,51.70,73.20,61.00,Binh thuong,
Ca chua,2024-03-27 09:00:00,22.60,51.90,68.70,70.50,Binh thuong,
Ca chua,2024-03-27 10:00:00,24.00,58.20,68.70,70.50,Binh thuong,
Ca chua,2024-03-27 11:00:00,22.70,52.20,62.90,68.60,Binh thuong,
Ca chua,2024-03-27 12:00:00,22.60,52.20,68.00,67.30,Binh thuong,
Ca chua,2024-03-27 13:00:00,22.20,55.30,62.30,72.60,Binh thuong,
Ca chua,2024-03-27 14:00:00,22.10,45.90,61.00,74.60,Binh thuong,
Ca chua,2024-03-27 15:00:00,21.30,49.20,75.50,69.90,Binh thuong,
Ca chua,2024-03-27 16:00:00,23.80,54.10,67.70,68.70,Binh thuong,
Ca chua,2024-03-27 17:00:00,23.70,57.70,68.00,77.50,Binh thuong,
Ca chua,2024-03-27 18:00:00,23.80,45.10,69.60,74.60,Binh thuong,
Ca chua,2024-03-27 19:00:00,21.70,59.90,67.00,74.90,Binh thuong,
Ca chua,2024-03-27 20:00:00,23.40,50.00,74.30,62.90,Binh thuong,
Ca chua,2024-03-27 21:00:00,21.90,59.60,75.60,74.80,Binh thuong,
Ca chua,2024-03-27 22:00:00,21.50,54.50,73.30,77.00,Binh thuong,
Ca chua,2024-03-27 23:00:00,24.00,56.70,62.10,64.10,Binh thuong,
Ca chua,2024-03-28 00:00:00,22.60,50.80,72.80,61.70,Binh thuong,
Ca chua,2024-03-28 01:00:00,22.40,49.00,67.70,67.70,Binh thuong,
Ca chua,2024-03-28 02:00:00,22.00,57.80,70.10,72.20,Binh thuong,
Ca chua,2024-03-28 03:00:00,21.40,57.10,60.10,66.00,Binh thuong,
Ca chua,2024-03-28 04:00:00,21.20,54.80,64.30,66.80,Binh thuong,
Ca chua,2024-03-28 05:00:00,23.10,48.00,63.10,62.10,Binh thuong,
Ca chua,2024-03-28 06:00:00,22.00,56.20,61.60,66.50,Binh thuong,
Ca chua,2024-03-28 07:00:00,22.50,57.00,76.20,80.00,Binh thuong,
Ca chua,2024-03-28 08:00:00,21.90,56.70,79.50,66.00,Binh thuong,
Ca chua,2024-03-28 09:00:00,21.20,51.70,74.20,74.70,Binh thuong,
Ca chua,2024-03-28 10:00:00,22.60,50.10,66.20,73.40,Binh thuong,
Ca chua,2024-03-28 11:00:00,23.30,47.00,68.00,76.50,Binh thuong,
Ca chua,2024-03-28 12:00:00,21.30,48.00,61.20,60.00,Binh thuong,
Ca chua,2024-03-28 13:00:00,23.50,49.80,71.30,62.70,Binh thuong,
Ca chua,2024-03-28 14:00:00,23.90,47.70,72.40,65.80,Binh thuong,
Ca chua,2024-03-28 15:00:00,21.00,52.20,78.00,65.40,Binh thuong,
Ca chua,2024-03-28 16:00:00,23.40,52.00,72.90,71.80,Binh thuong,
Ca chua,2024-03-28 17:00:00,22.40,59.40,73.80,79.80,Binh thuong,
Ca chua,2024-03-28 18:00:00,22.80,52.20,69.50,61.60,Binh thuong,
Ca chua,2024-03-28 19:00:00,23.00,49.60,70.80,75.20,Binh thuong,
Ca chua,2024-03-28 20:00:00,21.40,51.90,63.00,68.90,Binh thuong,
Ca chua,2024-03-28 21:00:00,21.60,53.10,79.90,63.60,Binh thuong,
Ca chua,2024-03-28 22:00:00,22.90,55.00,67.90,73.40,Binh thuong,
Ca chua,2024-03-28 23:00:00,23.00,54.10,64.10,78.10,Binh thuong,
Ca chua,2024-03-29 00:00:00,22.20,49.50,76.50,77.40,Binh thuong,
Ca chua,2024-03-29 01:00:00,22.00,55.00,67.40,69.90,Binh thuong,
Ca chua,2024-03-29 02:00:00,21.50,51.70,61.00,63.40,Binh thuong,
Ca chua,2024-03-29 03:00:00,23.80,56.20,70.80,61.10,Binh thuong,
Ca chua,2024-03-29 04:00:00,21.50,54.00,71.90,64.20,Binh thuong,
Ca chua,2024-03-29 05:00:00,22.10,47.40,60.30,73.70,Binh thuong,
Ca chua,2024-03-29 06:00:00,21.10,51.40,79.30,62.80,Binh thuong,
Ca chua,2024-03-29 07:00:00,23.70,49.20,68.90,78.80,Binh thuong,
Ca chua,2024-03-29 08:00:00,21.50,58.20,63.50,63.50,Binh thuong,
Ca chua,2024-03-29 09:00:00,23.20,45.20,76.70,62.80,Binh thuong,
Ca chua,2024-03-29 10:00:00,23.80,49.20,61.50,63.80,Binh thuong,
Ca chua,2024-03-29 11:00:00,22.20,55.80,72.60,75.90,Binh thuong,
Ca chua,2024-03-29 12:00:00,23.90,55.50,72.10,78.00,Binh thuong,
Ca chua,2024-03-29 13:00:00,21.80,50.30,60.70,79.20,Binh thuong,
Ca chua,2024-03-29 14:00:00,23.00,56.00,79.30,64.60,Binh thuong,
Ca chua,2024-03-29 15:00:00,21.80,54.50,69.80,66.90,Binh thuong,
Ca chua,2024-03-29 16:00:00,22.20,59.80,68.30,77.70,Binh thuong,
Ca chua,2024-03-29 17:00:00,23.50,53.00,73.80,78.80,Binh thuong,
Ca chua,2024-03-29 18:00:00,21.90,59.00,66.00,78.80,Binh thuong,
Ca chua,2024-03-29 19:00:00,21.30,45.50,63.10,78.70,Binh thuong,
Ca chua,2024-03-29 20:00:00,23.40,56.80,60.30,73.10,Binh thuong,
Ca chua,2024-03-29 21:00:00,21.40,53.70,78.90,68.70,Binh thuong,
Ca chua,2024-03-29 22:00:00,23.70,50.10,73.80,66.60,Binh thuong,
Ca chua,2024-03-29 23:00:00,21.80,49.40,74.80,77.40,Binh thuong,
Ca chua,2024-03-30 00:00:00,21.10,56.30,65.50,64.20,Binh thuong,
Ca chua,2024-03-30 01:00:00,22.30,53.10,62.00,76.80,Binh thuong,
Ca chua,2024-03-30 02:00:00,22.00,52.00,70.70,70.30,Binh thuong,
Ca chua,2024-03-30 03:00:00,21.90,45.30,62.20,63.60,Binh thuong,
Ca chua,2024-03-30 04:00:00,21.20,45.40,77.20,73.30,Binh thuong,
Ca chua,2024-03-30 05:00:00,21.40,50.80,60.20,71.60,Binh thuong,
Ca chua,2024-03-30 06:00:00,21.00,53.40,66.50,67.80,Binh thuong,
Ca chua,2024-03-30 07:00:00,22.10,48.30,71.60,62.40,Binh thuong,
Ca chua,2024-03-30 08:00:00,22.90,55.20,70.40,78.90,Binh thuong,
Ca chua,2024-03-30 09:00:00,22.70,53.00,65.00,72.20,Binh thuong,
Ca chua,2024-03-30 10:00:00,22.80,47.20,71.90,61.60,Binh thuong,
Ca chua,2024-03-30 11:00:00,21.60,57.30,78.20,69.60,Binh thuong,
Ca chua,2024-03-30 12:00:00,23.20,50.10,70.40,66.10,Binh thuong,
Ca chua,2024-03-30 13:00:00,23.30,58.50,74.50,78.80,Binh thuong,
Ca chua,2024-03-30 14:00:00,21.30,48.50,72.40,67.70,Binh thuong,
Ca chua,2024-03-30 15:00:00,21.10,51.30,74.10,62.50,Binh thuong,
Ca chua,2024-03-30 16:00:00,23.80,59.00,62.80,69.60,Binh thuong,
Ca chua,2024-03-30 17:00:00,21.70,59.50,62.80,65.10,Binh thuong,
Ca chua,2024-03-30 18:00:00,21.50,55.40,74.60,61.00,Binh thuong,
Ca chua,2024-03-30 19:00:00,23.20,57.90,71.50,78.70,Binh thuong,
Ca chua,2024-03-30 20:00:00,22.70,50.20,72.90,75.50,Binh thuong,
Ca chua,2024-03-30 21:00:00,21.80,50.80,70.10,75.90,Binh thuong,
Ca chua,2024-03-30 22:00:00,24.00,54.40,77.80,73.50,Binh thuong,
Ca chua,2024-03-30 23:00:00,21.50,45.20,65.50,60.30,Binh thuong,
Ca chua,2024-03-31 00:00:00,23.10,45.70,79.00,78.50,Binh thuong,
Ca chua,2024-03-31 01:00:00,21.30,48.20,78.80,65.00,Binh thuong,
Ca chua,2024-03-31 02:00:00,21.80,59.40,76.50,64.00,Binh thuong,
Ca chua,2024-03-31 03:00:00,22.20,54.40,76.50,67.30,Binh thuong,
Ca chua,2024-03-31 04:00:00,21.40,47.50,71.90,62.90,Binh thuong,
Ca chua,2024-03-31 05:00:00,21.10,48.60,71.90,60.30,Binh thuong,
Ca chua,2024-03-31 06:00:00,22.60,53.10,71.90,64.60,Binh thuong,
Ca chua,2024-03-31 07:00:00,23.80,47.70,67.30,70.50,Binh thuong,
Ca chua,2024-03-31 08:00:00,23.70,51.70,71.70,62.70,Binh thuong,
Ca chua,2024-03-31 09:00:00,23.90,45.60,62.90,61.30,Binh thuong,
Ca chua,2024-03-31 10:00:00,21.90,59.40,68.20,61.80,Binh thuong,
Ca chua,2024-03-31 11:00:00,22.60,53.00,64.60,72.70,Binh thuong,
Ca chua,2024-03-31 12:00:00,22.90,48.60,68.80,75.00,Binh thuong,
Ca chua,2024-03-31 13:00:00,23.70,56.90,73.30,60.30,Binh thuong,
Ca chua,2024-03-31 14:00:00,23.40,57.30,75.90,62.80,Binh thuong,
Ca chua,2024-03-31 15:00:00,21.70,56.60,73.40,63.20,Binh thuong,
Ca chua,2024-03-31 16:00:00,24.00,56.80,68.40,64.60,Binh thuong,
Ca chua,2024-03-31 17:00:00,21.20,52.10,72.80,77.30,Binh thuong,
Ca chua,2024-03-31 18:00:00,21.90,46.80,72.80,65.50,Binh thuong,
Ca chua,2024-03-31 19:00:00,22.30,57.00,75.80,67.50,Binh thuong,
Ca chua,2024-03-31 20:00:00,23.50,57.30,78.20,73.60,Binh thuong,
Ca chua,2024-03-31 21:00:00,22.10,49.80,68.80,63.80,Binh thuong,
Ca chua,2024-03-31 22:00:00,21.50,59.40,77.40,65.50,Binh thuong,
Ca chua,2024-03-31 23:00:00,22.80,49.80,67.30,65.20,Binh thuong,
Ca chua,2024-04-01 00:00:00,21.00,57.20,70.80,67.60,Binh thuong,
Ca chua,2024-04-01 01:00:00,22.50,56.40,71.30,78.90,Binh thuong,
Ca chua,2024-04-01 02:00:00,22.70,56.60,78.60,74.70,Binh thuong,
Ca chua,2024-04-01 03:00:00,21.30,45.00,77.90,64.40,Binh thuong,
Ca chua,2024-04-01 04:00:00,22.10,58.70,72.40,73.70,Binh thuong,
Ca chua,2024-04-01 05:00:00,21.80,48.90,71.00,69.80,Binh thuong,
Ca chua,2024-04-01 06:00:00,22.70,47.70,72.20,62.70,Binh thuong,
Ca chua,2024-04-01 07:00:00,23.30,58.40,74.00,74.80,Binh thuong,
Ca chua,2024-04-01 08:00:00,22.10,59.60,77.20,70.50,Binh thuong,
Ca chua,2024-04-01 09:00:00,21.30,59.40,66.10,67.00,Binh thuong,
Ca chua,2024-04-01 10:00:00,21.20,53.50,75.60,75.60,Binh thuong,
Ca chua,2024-04-01 11:00:00,23.50,55.80,65.70,66.30,Binh thuong,
Ca chua,2024-04-01 12:00:00,22.80,59.50,67.90,78.30,Binh thuong,
Ca chua,2024-04-01 13:00:00,23.80,60.00,60.30,66.10,Binh thuong,
Ca chua,2024-04-01 14:00:00,23.80,51.10,62.10,71.00,Binh thuong,
Ca chua,2024-04-01 15:00:00,22.70,56.90,73.70,61.30,Binh thuong,
Ca chua,2024-04-01 16:00:00,21.40,54.20,77.10,71.60,Binh thuong,
Ca chua,2024-04-01 17:00:00,21.70,58.80,70.10,78.70,Binh thuong,
Ca chua,2024-04-01 18:00:00,22.90,46.40,77.30,60.90,Binh thuong,
Ca chua,2024-04-01 19:00:00,23.80,52.70,61.00,72.70,Binh thuong,
Ca chua,2024-04-01 20:00:00,23.30,47.70,65.10,76.80,Binh thuong,
Ca chua,2024-04-01 21:00:00,22.10,49.50,65.40,77.20,Binh thuong,
Ca chua,2024-04-01 22:00:00,22.80,51.60,79.90,74.40,Binh thuong,
Ca chua,2024-04-01 23:00:00,23.80,50.20,63.10,76.60,Binh thuong,
Ca chua,2024-04-02 00:00:00,21.00,56.00,73.70,77.60,Binh thuong,
Ca chua,2024-04-02 01:00:00,21.30,49.40,75.70,76.40,Binh thuong,
Ca chua,2024-04-02 02:00:00,23.70,57.20,69.70,63.40,Binh thuong,
Ca chua,2024-04-02 03:00:00,23.80,57.40,66.70,76.80,Binh thuong,
Ca chua,2024-04-02 04:00:00,21.90,57.30,73.90,62.20,Binh thuong,
Ca chua,2024-04-02 05:00:00,21.10,56.90,67.60,68.70,Binh thuong,
Ca chua,2024-04-02 06:00:00,24.00,60.00,75.10,73.50,Binh thuong,
Ca chua,2024-04-02 07:00:00,23.80,60.00,73.90,66.50,Binh thuong,
Ca chua,2024-04-02 08:00:00,21.20,52.80,61.90,68.40,Binh thuong,
Ca chua,2024-04-02 09:00:00,23.90,49.50,63.70,67.50,Binh thuong,
Ca chua,2024-04-02 10:00:00,24.00,55.10,74.70,66.00,Binh thuong,
Ca chua,2024-04-02 11:00:00,22.40,59.50,61.30,72.00,Binh thuong,
Ca chua,2024-04-02 12:00:00,21.40,57.40,75.50,74.10,Binh thuong,
Ca chua,2024-04-02 13:00:00,21.70,54.90,73.10,69.30,Binh thuong,
Ca chua,2024-04-02 14:00:00,22.20,49.50,63.70,60.00,Binh thuong,
Ca chua,2024-04-02 15:00:00,22.10,52.10,76.10,66.90,Binh thuong,
Ca chua,2024-04-02 16:00:00,21.20,52.80,73.10,73.80,Binh thuong,
Ca chua,2024-04-02 17:00:00,23.90,57.40,69.70,69.00,Binh thuong,
Ca chua,2024-04-02 18:00:00,21.70,58.00,63.50,71.80,Binh thuong,
Ca chua,2024-04-02 19:00:00,23.80,45.50,79.00,64.80,Binh thuong,
Ca chua,2024-04-02 20:00:00,22.30,58.20,60.90,69.70,Binh thuong,
